id;hotel_name;departure_destinations;arrival_destination;room_types;board;type_of_transport
0;Hotel Oasis Atlantico Belorizonte;Warszawa;Wyspy Zielonego Przylądka / Sal / Santa Maria (sal);Superior loft bungalow,Superior bungalow,Bungalow;All inclusive;
1;Hotel Serra Palace (ex. LTI Serra Resort);Bydgoszcz,Gdańsk,Kraków,Katowice,Łódź,Poznań,Rzeszów,Szczecin,Warszawa,Wrocław;Turcja / Side / Kızılot;Pokój,Pokój rodzinny;All inclusive 24h;
2;Hotel Fuerteventura Princess;Gdańsk,Katowice,Poznań,Warszawa,Wrocław;Wyspy Kanaryjskie / Fuerteventura / Esquinzo;Pokój;All inclusive;
3;Hotel Grand Blue Fafa;Dojazd własny,Gdańsk,Katowice,Kraków,Poznań,Rzeszów,Warszawa,Wrocław;Albania / Durres / Golem;Pokój promo,Pokój;All inclusive;
4;Hotel Strand Taba Heights Beach & Golf Resort (ex. InterContinental);Katowice,Warszawa,Wrocław;Egipt / Taba;Pokój;All inclusive;
5;Hotel Blue Lagoon Garden Satellite;Katowice,Poznań,Warszawa,Wrocław;Grecja / Kos / Lambi;Pokój;All inclusive;
6;Hotel Panorama Boutique Village;Gdańsk,Katowice,Poznań,Warszawa,Wrocław;Grecja / Kreta / Agia Pelagia;Pokój;All inclusive;
7;Hotel Grand Sahin’s Gumuldur Resort;Katowice,Warszawa;Turcja / Kusadasi / Gumuldur;Pokój;All inclusive;
8;Hotel Acharavi Mare;Gdańsk,Katowice,Poznań,Warszawa,Wrocław;Grecja / Korfu / Acharavi;Pokój,Pokój rodzinny;All inclusive;
9;Hotel Blue Sea Beach Resort;Gdańsk,Katowice,Kraków,Łódź,Poznań,Warszawa,Wrocław;Grecja / Rodos / Faliraki;Pokój,Pokój superior;All inclusive;
10;Hotel Sensitive Premium Resort & Spa;Bydgoszcz,Gdańsk,Katowice,Kraków,Łódź,Poznań,Rzeszów,Szczecin,Warszawa,Wrocław;Turcja / Belek / Boğazkent;Pokój;All inclusive ultra;
11;Hotel Ascos Coral Beach;Gdańsk,Katowice,Kraków,Warszawa - Modlin,Wrocław;Cypr / Pafos;Pokój,Pokój rodzinny;All inclusive;
12;Hotel Grint;Gdańsk,Katowice,Kraków,Poznań,Rzeszów,Warszawa,Wrocław;Albania / Durres / Golem;Pokój;All inclusive;
13;J’adore Deluxe Hotel & Spa;Bydgoszcz,Gdańsk,Katowice,Kraków,Łódź,Poznań,Rzeszów,Szczecin,Warszawa,Wrocław;Turcja / Side;Pokój;All inclusive ultra 24h;
14;Hotel Oasis Atlantico Belorizonte;Warszawa;Wyspy Zielonego Przylądka / Sal / Santa Maria (sal);Superior loft bungalow,Superior bungalow,Bungalow;All inclusive;
15;Hotel Rodos Palace Luxury Convention Resort;Gdańsk,Katowice,Kraków,Łódź,Poznań,Warszawa,Wrocław;Grecja / Rodos / Ixia;Pokój superior,Pokój rodzinny garden suite; All inclusive;
16;Hotel Club Cactus Paradise;Katowice,Warszawa;Turcja / Kusadasi / Gumuldur;Pokój,Pokój rodzinny;All inclusive;
17;Hotel Vikingen Infinity Resort & Spa;Bydgoszcz,Gdańsk,Katowice,Kraków,Łódź,Poznań,Rzeszów,Szczecin,Warszawa,Wrocław;Turcja / Alanya / Okurcalar;Pokój;All inclusive;
18;Hotel Villaggio Albergo Belmonte;Katowice,Warszawa,Wrocław;Włochy / Kalabria / Belmonte Calabro;Pokój;Full board plus;
19;Hotel Xenios Anastasia Resort & Spa;Dojazd własny;Grecja / Chalkidiki / Nea Skioni;Pokój superior;All inclusive ultra ;
20;Hotel Dream Water World;Bydgoszcz,Gdańsk,Katowice,Kraków,Łódź,Poznań,Rzeszów,Szczecin,Warszawa,Wrocław;Turcja / Side;Pokój;All inclusive;
21;Hotel Castello Mare & Wellness Resort;Katowice,Kraków,Warszawa,Wrocław;Gruzja / Adżaria / Tsikhisdziri;Pokój;All inclusive;
22;Hotel Horizont;Dojazd własny,Gdańsk,Katowice,Kraków,Poznań,Rzeszów,Warszawa,Wrocław;Albania / Durres;Pokój,Pokój superior,Junior Suite;All inclusive;
23;Apartamenty Kanegra Plava Laguna;Dojazd własny;Chorwacja / Istria / Kanegra;Apartament;Bez wyżywienia,Śniadania,2 posiłki;
24;Hotel Q Premium;Bydgoszcz,Gdańsk,Katowice,Kraków,Łódź,Poznań,Rzeszów,Szczecin,Warszawa,Wrocław;Turcja / Alanya / Okurcalar;Pokój;All inclusive ultra 24h;
25;Hotel Ramada Resort Akbuk;Katowice,Poznań,Warszawa,Wrocław;Turcja / Didyma / Akbuk;Pokój;All inclusive 24h;
26;Hotel Mirador Maspalomas by Dunas;Katowice,Poznań,Warszawa,Wrocław;Wyspy Kanaryjskie / Gran Canaria / Maspalomas;Pokój,Pokój rodzinny;All inclusive;
27;Hotel Royal Karthago Djerba;Katowice,Poznań,Warszawa,Wrocław;Tunezja / Djerba / Dżerba;Pokój;All inclusive;
28;Hotel Maxeria Blue Didyma;Katowice,Poznań,Warszawa,Wrocław;Turcja / Didyma / Akbuk;Pokój,Pokój rodzinny;All inclusive ultra 24h;
29;Hotel Fafa Premium;Dojazd własny,Gdańsk,Katowice,Kraków,Poznań,Rzeszów,Warszawa,Wrocław;Albania / Durres / Golem;Pokój;All inclusive;
30;Hotel Blue Lagoon Resort;Katowice,Poznań,Warszawa,Wrocław;Grecja / Kos / Lambi;Pokój;All inclusive;
31;Hotel Domina Zagarella Sicily;Katowice,Warszawa;Włochy / Sycylia / Santa Flavia;Pokój;All inclusive soft;
32;Alarcha Hotels & Resorts;Bydgoszcz,Gdańsk,Katowice,Kraków,Łódź,Poznań,Rzeszów,Szczecin,Warszawa,Wrocław;Turcja / Side / Manavgat;Pokój;All inclusive ultra 24 h;
33;Caprici Beach Hotel & SPA;Katowice,Warszawa,Wrocław;Hiszpania / Costa Brava / Santa Susanna;Pokój;2 posiłki;
34;Hotel R2 Pajara Beach;Gdańsk,Katowice,Poznań,Warszawa,Wrocław;Wyspy Kanaryjskie / Fuerteventura / Costa Calma;Pokój;All inclusive;
35;Hotel Presa Di Finica (ex. Fun & Sun Club Di Finica);Bydgoszcz,Gdańsk,Katowice,Kraków,Łódź,Poznań,Rzeszów,Szczecin,Warszawa,Wrocław;Turcja / Finike;Pokój;All inclusive;
36;Hotel Azure by Yelken;Katowice,Poznań,Warszawa,Wrocław;Turcja / Bodrum / Turgutreis;Pokój;All inclusive ultra 24h;
37;Hotel Monte Mar Palace;Katowice,Poznań,Warszawa,Wrocław;Madera / Ponta Delgada;Pokój,Pokój superior;2 posiłki,All inclusive;
38;Hotel Solimar Aquamarine;Gdańsk,Katowice,Poznań,Warszawa,Wrocław;Grecja / Kreta / Pirgos Psilonerou;Pokój rodzinny junior suite;All inclusive;
39;Hotel Kadikale Resort Spa & Wellness;Katowice,Poznań,Warszawa,Wrocław;Turcja / Bodrum / Turgutreis;Pokój;All inclusive;
40;Hotel Aquasis Deluxe Resort & Spa;Katowice,Poznań,Warszawa,Wrocław;Turcja / Didyma / Didim;Pokój terrace sunset,Pokój deluxe,Pokój lake house swim up; All Inclusive ultra 24h;
41;Resort Amarin Apartments;Dojazd własny;Chorwacja / Istria / Rovinj;Apartament premium,Apartament;Bez wyżywienia;
42;Hotel Occidental Cala Viñas;Gdańsk,Katowice,Poznań,Warszawa,Wrocław;Hiszpania / Majorka / Cala Vinas;Pokój superior,Pokój deluxe,Pokój rodzinny;All inclusive;
43;Hotel Intercontinental Mauritius;Warszawa;Mauritius / Wybrzeże Północne / Balaclava;Pokój prestige,Pokój deluxe,Pokój rodzinny;All inclusive;
44;Paradise Bay Resort;Gdańsk,Katowice,Kraków,Poznań,Warszawa,Warszawa - Modlin,Wrocław;Malta / Wyspa Malta / Cirkewwa;Pokój;Śniadania,2 posiłki,All inclusive soft;
45;Hotel Pine Bay;Katowice,Warszawa;Turcja / Kusadasi;Bungalow,Pokój;All inclusive 24h;
46;Hotel VidaMar Resort Madeira;Katowice,Poznań,Warszawa,Wrocław;Madera / Funchal;Pokój;2 posiłki,All inclusive soft;
47;Hotel Club Boran Mare Beach;Bydgoszcz,Gdańsk,Katowice,Kraków,Łódź,Poznań,Rzeszów,Szczecin,Warszawa,Wrocław;Turcja / Kemer / Goynuk;Bungalow;All inclusive;
48;Hotel Gaia Royal;Katowice,Poznań,Warszawa,Wrocław;Grecja / Kos / Mastichari;Pokój,Pokój rodzinny;All inclusive;
49;Hotel BG Portinatx Beach Club;Katowice;Hiszpania / Ibiza / Portinatx;Pokój;2 posiłki,All inclusive;
50;Hotel Club Esse Palmasera Resort;Katowice,Warszawa;Włochy / Sardynia / Cala Gonone;Pokój;All inclusive;
51;Hotel Magna Graecia;Gdańsk,Katowice,Poznań,Warszawa,Wrocław;Grecja / Korfu / Dassia;Pokój,Pokój rodzinny;All inclusive;
52;Hotel Blue Dream Palace;Katowice,Warszawa;Grecja / Thassos / Limenaria;Pokój superior;2 posiłki;
53;Hotel Lazuli;Gdańsk,Katowice,Poznań,Warszawa,Wrocław;Egipt / Marsa Alam / Al-kusajr;Pokój,Pokój superior;All inclusive;
54;Hotel Iberostar Slavija;Dojazd własny;Czarnogóra / Riwiera Czarnogórska / Budva;Pokój,Pokój superior,Junior Suite;Śniadania,2 posiłki;
55;Hotel Angela Beach;Gdańsk,Katowice,Poznań,Warszawa,Wrocław;Grecja / Korfu / Astrakeri;Pokój superior,Pokój rodzinny,Pokój rodzinny 4 os.;All inclusive;
56;Hotel Grecotel Filoxenia;Dojazd własny;Grecja / Peloponez / Kalamata;Pokój standardowy z werandą,Pokój,Pokój superior,Pokój rodzinny;Śniadania,2 posiłki;
57;Hotel Santa Caterina Village Resort & Spa;Katowice,Warszawa,Wrocław;Włochy / Kalabria / Scalea;Pokój;All inclusive;
58;Hotel BG Pamplona;Gdańsk,Katowice,Poznań,Warszawa,Wrocław;Hiszpania / Majorka / Can Pastilla;Pokój,Junior Suite;2 posiłki;
59;Hotel Aldemar Royal Olympian;Warszawa;Grecja / Peloponez / Skafidia;Pokój,Suite;All inclusive premium;
